1;Attributes;2
title;Other;2
contents;FunctionWords;2
Act;LegalReferences;34
may;FunctionWords;1
be;FunctionWords;16
cited;Other;1
as;LogicalConnectors;21
the;FunctionWords;121
Contents;FunctionWords;1
The;FunctionWords;19
for;LogicalConnectors;3
is;FunctionWords;8
follows;FunctionWords;1
2;LegalReferences;2
Definitions;EconomicOperands;1
used;EconomicOperands;1
in;FunctionWords;23
following;FunctionWords;1
definitions;EconomicOperands;2
shall;RegulatoryOperators;5
apply;RegulatoryOperators;1
except;LogicalConnectors;4
context;Other;1
otherwise;LogicalConnectors;5
requires;RegulatoryOperators;1
or;LogicalConnectors;25
specifically;LogicalConnectors;2
provided;LogicalConnectors;2
Affiliate;EconomicOperands;1
term;Other;20
affiliate;EconomicOperands;1
has;FunctionWords;10
same;LogicalConnectors;12
meaning;Other;9
3;FunctionWords;5
of;FunctionWords;51
1813);LegalReferences;2
agency;EconomicOperands;10
On;FunctionWords;1
and;LogicalConnectors;18
after;LogicalConnectors;2
date;EconomicOperands;6
3(q);LegalReferences;2
1813(q));LegalReferences;1
amended;Other;1
by;FunctionWords;10
III;LegalReferences;1
governors;EconomicOperands;1
Governors;EconomicOperands;4
means;Other;13
Reserve;EconomicOperands;1
System;EconomicOperands;2
Bureau;EconomicOperands;2
Protection;EconomicOperands;2
established;RegulatoryOperators;6
under;FunctionWords;38
X;LegalReferences;1
Commission;EconomicOperands;24
Commodity;EconomicOperands;1
futures;EconomicOperands;2
terms;Other;7
merchant;EconomicOperands;4
swap;EconomicOperands;3
dealer;EconomicOperands;10
facility;EconomicOperands;3
organization;EconomicOperands;6
trade;EconomicOperands;2
advisor;EconomicOperands;3
pool;EconomicOperands;2
operator;EconomicOperands;4
have;FunctionWords;3
meanings;Other;3
given;FunctionWords;1
section;Other;3
seq);LegalReferences;12
Corporation;EconomicOperands;6
Council;EconomicOperands;3
I;LegalReferences;1
union;EconomicOperands;5
a;FunctionWords;4
State;EconomicOperands;8
State-chartered;EconomicOperands;1
those;FunctionWords;1
are;FunctionWords;4
defined;EconomicOperands;2
101;LegalReferences;1
1752);LegalReferences;1
individually;EconomicOperands;1
Currency;EconomicOperands;1
agencies;EconomicOperands;2
all;FunctionWords;1
to;FunctionWords;40
(A);LegalReferences;1
