I;FunctionWords;1
Stability;EconomicOperands;1
title;LegalReferences;27
may;FunctionWords;126
be;FunctionWords;125
cited;Other;1
as;LogicalConnectors;128
the;FunctionWords;1638
2010;LegalReferences;16
Definitions;EconomicOperands;3
general;FunctionWords;44
For;LogicalConnectors;23
purposes;EconomicOperands;37
of;FunctionWords;1015
unless;LogicalConnectors;5
context;Other;1
otherwise;LogicalConnectors;14
requires;RegulatoryOperators;3
following;FunctionWords;15
definitions;EconomicOperands;5
shall;RegulatoryOperators;273
apply;RegulatoryOperators;21
company;EconomicOperands;332
The;FunctionWords;150
term;Other;33
has;FunctionWords;24
same;LogicalConnectors;11
meaning;Other;2
in;FunctionWords;322
2;Attributes;3
1841);LegalReferences;1
A;LegalReferences;11
bank;EconomicOperands;13
or;LogicalConnectors;436
is;FunctionWords;101
treated;RegulatoryOperators;9
a;FunctionWords;388
for;LogicalConnectors;171
1956;LegalReferences;5
to;FunctionWords;615
8(a);LegalReferences;1
3106(a));LegalReferences;1
Chairperson;EconomicOperands;26
means;Other;21
Council;EconomicOperands;213
agency;EconomicOperands;66
an;FunctionWords;102
represented;EconomicOperands;1
by;FunctionWords;238
member;EconomicOperands;35
than;LogicalConnectors;81
States;EconomicOperands;108
company);EconomicOperands;4
incorporated;EconomicOperands;4
organized;EconomicOperands;7
country;EconomicOperands;13
and;LogicalConnectors;616
engaged;EconomicOperands;9
including;LogicalConnectors;45
through;FunctionWords;14
branch;EconomicOperands;1
activities;EconomicOperands;81
defined;EconomicOperands;12
(6);LegalReferences;2
System;EconomicOperands;1
institution;EconomicOperands;29
chartered;EconomicOperands;1
provisions;EconomicOperands;7
seq);LegalReferences;3
national;EconomicOperands;6
securities;EconomicOperands;8
exchange;EconomicOperands;3
(or;LogicalConnectors;12
parent;EconomicOperands;8
thereof);FunctionWords;2
clearing;EconomicOperands;2
thereof;FunctionWords;17
facility;EconomicOperands;2
repository;EconomicOperands;2
registered;EconomicOperands;2
with;FunctionWords;130
Commission;EconomicOperands;7
trade;EconomicOperands;1
designated;RegulatoryOperators;5
